client_id,servicio_id,nombre_servicio,regdate,meses_activo,domainstatus,paymentmethod,billingcycle,total,state
25,36,Jupiter - Shared x1,2017-09-21,31.0,Terminated,qr,Annually,99.0,Cochabamba
25,36,Jupiter - Shared x1,2017-09-21,31.0,Terminated,qr,Annually,99.0,Cochabamba
25,36,Jupiter - Shared x1,2017-09-21,31.0,Terminated,qr,Annually,99.0,Cochabamba
25,36,Jupiter - Shared x1,2017-09-21,31.0,Terminated,qr,Annually,99.0,Cochabamba
25,36,Jupiter - Shared x1,2017-09-21,31.0,Terminated,qr,Annually,99.0,Cochabamba
27,40,CLOUD PLUS,2017-09-28,12.0,Suspended,qr,Monthly,99.0,Cochabamba
27,40,CLOUD PLUS,2017-09-28,12.0,Suspended,qr,Monthly,99.0,Cochabamba
28,41,Desarrollo Web BASIC,2017-10-26,1.0,Pending,qr,Monthly,99.0,Chuquisaca
29,400,Jupiter - Shared x1,2020-01-30,12.0,Terminated,paypal,Annually,299.0,Tarija
30,43,CLOUD PLUS,2017-11-01,1.0,Pending,banktransfer,Monthly,99.0,Cochabamba
30,43,CLOUD PLUS,2017-11-01,1.0,Pending,banktransfer,Monthly,99.0,Cochabamba
30,44,CLOUD PLUS,2017-11-01,1.0,Suspended,banktransfer,Monthly,99.0,Cochabamba
30,44,CLOUD PLUS,2017-11-01,1.0,Suspended,banktransfer,Monthly,99.0,Cochabamba
30,44,CLOUD PLUS,2017-11-01,1.0,Suspended,banktransfer,Monthly,99.0,Cochabamba
30,44,CLOUD PLUS,2017-11-01,1.0,Suspended,banktransfer,Monthly,99.0,Cochabamba
30,44,CLOUD PLUS,2017-11-01,1.0,Suspended,banktransfer,Monthly,99.0,Cochabamba
30,44,CLOUD PLUS,2017-11-01,1.0,Suspended,banktransfer,Monthly,99.0,Cochabamba
32,47,Jupiter - Shared x1,2017-11-03,61.0,Suspended,walletbo,Annually,299.0,Cochabamba
33,48,CLOUD PLUS,2017-11-03,1.0,Pending,banktransfer,Monthly,99.0,Cochabamba
34,49,CLOUD PLUS,2017-11-04,12.0,Terminated,qr,Annually,99.0,Santa Cruz
34,49,CLOUD PLUS,2017-11-04,12.0,Terminated,qr,Annually,99.0,Santa Cruz
34,49,CLOUD PLUS,2017-11-04,12.0,Terminated,qr,Annually,99.0,Santa Cruz
34,49,CLOUD PLUS,2017-11-04,12.0,Terminated,qr,Annually,99.0,Santa Cruz
34,49,CLOUD PLUS,2017-11-04,12.0,Terminated,qr,Annually,99.0,Santa Cruz
